song,artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Angels Like You,Miley Cyrus,0.672,0.642,5,-4.035,1,0.0313,0.0981,0.0,0.1,0.494,121.981,audio_features,0QdePZJfBpRIBautuT4FSx,spotify:track:0QdePZJfBpRIBautuT4FSx,https://api.spotify.com/v1/tracks/0QdePZJfBpRIBautuT4FSx,https://api.spotify.com/v1/audio-analysis/0QdePZJfBpRIBautuT4FSx,196453,4
Irgendwann ist jetzt,Max Giesinger,0.829,0.618,2,-5.104,1,0.0501,0.0784,3.38e-06,0.0544,0.887,113.01,audio_features,3gMi9DLCVNNAnj9URmWNlD,spotify:track:3gMi9DLCVNNAnj9URmWNlD,https://api.spotify.com/v1/tracks/3gMi9DLCVNNAnj9URmWNlD,https://api.spotify.com/v1/audio-analysis/3gMi9DLCVNNAnj9URmWNlD,178673,4
What Other People Say,Sam Fischer,0.652,0.472,7,-8.084,1,0.0399,0.158,0.0,0.121,0.24,126.904,audio_features,2h9TDNEXRhcDIV3fsoEVq9,spotify:track:2h9TDNEXRhcDIV3fsoEVq9,https://api.spotify.com/v1/tracks/2h9TDNEXRhcDIV3fsoEVq9,https://api.spotify.com/v1/audio-analysis/2h9TDNEXRhcDIV3fsoEVq9,194890,4
EULE,Jan Delay,0.726,0.636,0,-7.71,1,0.107,0.104,3.27e-05,0.124,0.831,111.128,audio_features,1TIh56jIinh6x6kqaaTDHh,spotify:track:1TIh56jIinh6x6kqaaTDHh,https://api.spotify.com/v1/tracks/1TIh56jIinh6x6kqaaTDHh,https://api.spotify.com/v1/audio-analysis/1TIh56jIinh6x6kqaaTDHh,222194,4
If I Didn't Have You,BANNERS,0.628,0.699,5,-7.772,1,0.0309,0.0914,1.54e-05,0.0739,0.403,136.03,audio_features,7Etf7VJoXNJlO4oMJRUDlT,spotify:track:7Etf7VJoXNJlO4oMJRUDlT,https://api.spotify.com/v1/tracks/7Etf7VJoXNJlO4oMJRUDlT,https://api.spotify.com/v1/audio-analysis/7Etf7VJoXNJlO4oMJRUDlT,225848,4
Anxious,Dennis Lloyd,0.669,0.745,6,-7.679,0,0.118,0.051,3.98e-06,0.107,0.439,100.963,audio_features,0bqwsQAkGaO0jzfzgI5iLV,spotify:track:0bqwsQAkGaO0jzfzgI5iLV,https://api.spotify.com/v1/tracks/0bqwsQAkGaO0jzfzgI5iLV,https://api.spotify.com/v1/audio-analysis/0bqwsQAkGaO0jzfzgI5iLV,176773,4
Stay,Gracie Abrams,0.618,0.37,10,-10.5,1,0.0543,0.883,0.0,0.123,0.433,114.26,audio_features,0Uon5NsSAkBDx69XYOaQ5P,spotify:track:0Uon5NsSAkBDx69XYOaQ5P,https://api.spotify.com/v1/tracks/0Uon5NsSAkBDx69XYOaQ5P,https://api.spotify.com/v1/audio-analysis/0Uon5NsSAkBDx69XYOaQ5P,177153,4
Better Tomorrow,Matt Simons,0.845,0.62,1,-5.373,1,0.119,0.0165,1.24e-06,0.0641,0.692,112.025,audio_features,758QzANWjOWaBnVW9DAZXx,spotify:track:758QzANWjOWaBnVW9DAZXx,https://api.spotify.com/v1/tracks/758QzANWjOWaBnVW9DAZXx,https://api.spotify.com/v1/audio-analysis/758QzANWjOWaBnVW9DAZXx,181162,4
2 Uhr nachts,KAYEF,0.652,0.783,8,-5.943,0,0.312,0.222,0.0,0.373,0.819,88.064,audio_features,2M6CW6093pmutJWMRfCfxt,spotify:track:2M6CW6093pmutJWMRfCfxt,https://api.spotify.com/v1/tracks/2M6CW6093pmutJWMRfCfxt,https://api.spotify.com/v1/audio-analysis/2M6CW6093pmutJWMRfCfxt,147413,4
Remember That Night?,Sara Kays,0.679,0.61,7,-10.936,0,0.0305,0.585,9.51e-05,0.156,0.554,123.978,audio_features,1nYzjrdVQ8RpF93M0jPFW7,spotify:track:1nYzjrdVQ8RpF93M0jPFW7,https://api.spotify.com/v1/tracks/1nYzjrdVQ8RpF93M0jPFW7,https://api.spotify.com/v1/audio-analysis/1nYzjrdVQ8RpF93M0jPFW7,227186,4
Butterflies,James TW,0.709,0.666,0,-7.306,0,0.123,0.231,7.93e-06,0.105,0.502,99.943,audio_features,5XGJj8eIm5tSdxkIm6GBal,spotify:track:5XGJj8eIm5tSdxkIm6GBal,https://api.spotify.com/v1/tracks/5XGJj8eIm5tSdxkIm6GBal,https://api.spotify.com/v1/audio-analysis/5XGJj8eIm5tSdxkIm6GBal,198053,4
Fly Away,Tones And I,0.806,0.513,4,-6.208,1,0.0685,0.217,0.0,0.217,0.503,124.988,audio_features,5ri4zqtWhG07hIuNNDWP76,spotify:track:5ri4zqtWhG07hIuNNDWP76,https://api.spotify.com/v1/tracks/5ri4zqtWhG07hIuNNDWP76,https://api.spotify.com/v1/audio-analysis/5ri4zqtWhG07hIuNNDWP76,178157,4
Mein Zuhause,Georg Stengel,0.615,0.517,0,-8.731,1,0.0549,0.0271,0.0,0.059,0.397,130.043,audio_features,21p89pQKz0PqIvILJ19JY1,spotify:track:21p89pQKz0PqIvILJ19JY1,https://api.spotify.com/v1/tracks/21p89pQKz0PqIvILJ19JY1,https://api.spotify.com/v1/audio-analysis/21p89pQKz0PqIvILJ19JY1,183115,4
Pierre,Ryn Weaver,0.607,0.827,9,-4.282,1,0.0484,0.289,2.95e-06,0.718,0.552,100.062,audio_features,31c1V9xUONZYk78NE4Id8D,spotify:track:31c1V9xUONZYk78NE4Id8D,https://api.spotify.com/v1/tracks/31c1V9xUONZYk78NE4Id8D,https://api.spotify.com/v1/audio-analysis/31c1V9xUONZYk78NE4Id8D,202747,4
Only Wanna Be With You - Pokémon 25 Version,Post Malone,0.47,0.709,7,-4.563,1,0.0299,0.00124,0.00121,0.302,0.247,98.036,audio_features,3SawmGBjjq8EOYZJV11cJm,spotify:track:3SawmGBjjq8EOYZJV11cJm,https://api.spotify.com/v1/tracks/3SawmGBjjq8EOYZJV11cJm,https://api.spotify.com/v1/audio-analysis/3SawmGBjjq8EOYZJV11cJm,241360,4
As I Am (feat. Khalid),Justin Bieber,0.608,0.547,11,-8.151,1,0.0368,0.131,0.0,0.0974,0.108,99.947,audio_features,4MmMxyew8yq1OEyJOMaX6M,spotify:track:4MmMxyew8yq1OEyJOMaX6M,https://api.spotify.com/v1/tracks/4MmMxyew8yq1OEyJOMaX6M,https://api.spotify.com/v1/audio-analysis/4MmMxyew8yq1OEyJOMaX6M,174406,4
Mr. Perfectly Fine (Taylor’s Version) (From The Vault),Taylor Swift,0.661,0.819,11,-6.269,0,0.0519,0.167,0.0,0.0647,0.724,135.937,audio_features,7l2tmgUhV7Y2aJHjiszifg,spotify:track:7l2tmgUhV7Y2aJHjiszifg,https://api.spotify.com/v1/tracks/7l2tmgUhV7Y2aJHjiszifg,https://api.spotify.com/v1/audio-analysis/7l2tmgUhV7Y2aJHjiszifg,277592,4
Enough Is Enough,Rea Garvey,0.753,0.816,2,-4.516,1,0.0281,0.0484,0.0,0.141,0.255,127.071,audio_features,7eRQa7QfPQ3VoKl7MVch9C,spotify:track:7eRQa7QfPQ3VoKl7MVch9C,https://api.spotify.com/v1/tracks/7eRQa7QfPQ3VoKl7MVch9C,https://api.spotify.com/v1/audio-analysis/7eRQa7QfPQ3VoKl7MVch9C,201627,4
